,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,Player's_House_-_Day_1,[],['Basic Zombie'],"['Basic Zombie', 'Basic Zombie']","['Flag Zombie', 'Basic Zombie', 'Basic Zombie', 'Basic Zombie', 'Basic Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Player's_House_-_Day_2,[],['Basic Zombie'],"['Basic Zombie', 'Basic Zombie']","['Basic Zombie', 'Basic Zombie']","['Basic Zombie', 'Basic Zombie', 'Basic Zombie', 'Basic Zombie', 'Basic Zombie', 'Flag Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Player's_House_-_Day_3,[],"['Basic Zombie', 'Basic Zombie']",['Basic Zombie'],"['Basic Zombie', 'Basic Zombie']",['Conehead Zombie'],"['Basic Zombie', 'Basic Zombie', 'Basic Zombie']","['Basic Zombie', 'Basic Zombie', 'Basic Zombie', 'Basic Zombie', 'Conehead Zombie', 'Flag Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Player's_House_-_Day_4,[],['Basic Zombie'],['Basic Zombie'],"['Basic Zombie', 'Basic Zombie']","['Basic Zombie', 'Basic Zombie']","['Basic Zombie', 'Conehead Zombie']","['Basic Zombie', 'Basic Zombie', 'Basic Zombie']",['Buckethead Zombie'],"['Basic Zombie', 'Basic Zombie', 'Conehead Zombie', 'Conehead Zombie', 'Flag Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ancient_Egypt_-_Day_1,[],['Mummy Zombie'],['Ra Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']",['Conehead Mummy'],"['Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Ra Zombie']","['Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Ra Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ancient_Egypt_-_Day_2,[],['Mummy Zombie'],"['Mummy Zombie', 'Plant Food']",['Buckethead Mummy'],['Mummy Zombie'],"['Mummy Zombie', 'Ra Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ancient_Egypt_-_Day_3,[],['Mummy Zombie'],"['Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Ra Zombie']","['Mummy Zombie', 'Ra Zombie', 'Plant Food']",['Conehead Mummy'],"['Mummy Zombie', 'Mummy Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Ra Zombie', 'Plant Food']","['Conehead Mummy', 'Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Buckethead Mummy']","['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Ra Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Ra Zombie', 'Ra Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ancient_Egypt_-_Day_4,[],['Mummy Zombie'],"['Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",['Conehead Mummy'],"['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ancient_Egypt_-_Day_5,[],"['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Buckethead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Buckethead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Buckethead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Buckethead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ancient_Egypt_-_Day_6,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']","['Conehead Mummy', 'Plant Food']",['Camel Zombies'],"['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Plant Food']",['Camel Zombies'],"['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Plant Food']","['Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ancient_Egypt_-_Day_7,[],['Mummy Zombie'],['Mummy Zombie'],['Ra Zombie'],"['Buckethead Mummy', 'Plant Food']",['Camel Zombies'],['Buckethead Mummy'],"['Mummy Zombie', 'Buckethead Mummy', 'Plant Food']","['Camel Zombies', 'Camel Zombies']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Camel Zombies', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ancient_Egypt_-_Day_8,[],"['Mummy Zombie', 'Plant Food']","['Conehead Mummy', 'Plant Food']",['Buckethead Mummy'],"['Camel Zombies', 'Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Plant Food']",['Camel Zombies'],"['Conehead Mummy', 'Conehead Mummy', 'Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Buckethead Mummy', 'Plant Food']","['Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Plant Food', 'Plant Food']",['Mummified Gargantuar'],"['Mummy Zombie', 'Conehead Mummy', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy', 'Camel Zombies', 'Camel Zombies']","['Conehead Mummy', 'Conehead Mummy', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Plant Food']","['Flag Mummy Zombie', 'Mummified Gargantuar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ancient_Egypt_-_Day_9,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy']",['Explorer Zombie'],"['Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Camel Zombies']","['Mummy Zombie', 'Mummy Zombie', 'Explorer Zombie', 'Plant Food']","['Mummy Zombie', 'Buckethead Mummy', 'Explorer Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
